"receptor","year","month","day","hour","hour.inc","lat","lon","height","pressure","date.inc","date.start","diffs","trajectory"
1,2015,1,1,12,0,-80.3,-81.3,1500,750.6,2015-01-01 12:00:00,2015-01-01 12:00:00,1,1
1,2015,1,1,11,-1,-80.37,-82.727,1546.8,730.3,2015-01-01 11:00:00,2015-01-01 12:00:00,-1,1
1,2015,1,1,10,-2,-80.419,-84.159,1592.9,709.3,2015-01-01 10:00:00,2015-01-01 12:00:00,-1,1
1,2015,1,1,9,-3,-80.447,-85.622,1638,689.4,2015-01-01 09:00:00,2015-01-01 12:00:00,-1,1
1,2015,1,1,8,-4,-80.454,-87.133,1681.4,669.4,2015-01-01 08:00:00,2015-01-01 12:00:00,-1,1
1,2015,1,1,7,-5,-80.438,-88.704,1722.7,650.8,2015-01-01 07:00:00,2015-01-01 12:00:00,-1,1
1,2015,1,1,6,-6,-80.395,-90.34,1760.3,633.2,2015-01-01 06:00:00,2015-01-01 12:00:00,-1,1
1,2015,1,1,5,-7,-80.318,-92.007,1791.8,617.5,2015-01-01 05:00:00,2015-01-01 12:00:00,-1,1
1,2015,1,1,4,-8,-80.204,-93.661,1816.1,605.7,2015-01-01 04:00:00,2015-01-01 12:00:00,-1,1
1,2015,1,1,3,-9,-80.049,-95.281,1832.5,596.7,2015-01-01 03:00:00,2015-01-01 12:00:00,-1,1
1,2015,1,1,2,-10,-79.854,-96.809,1844.7,594.6,2015-01-01 02:00:00,2015-01-01 12:00:00,-1,1
1,2015,1,1,1,-11,-79.622,-98.173,1849.4,597.1,2015-01-01 01:00:00,2015-01-01 12:00:00,-1,1
1,2015,1,1,0,-12,-79.36,-99.354,1845.4,603.1,2015-01-01,2015-01-01 12:00:00,-1,1
1,2014,12,31,23,-13,-79.071,-100.263,1830.5,611.3,2014-12-31 23:00:00,2015-01-01 12:00:00,-1,1
1,2014,12,31,22,-14,-78.754,-100.841,1804.2,622.2,2014-12-31 22:00:00,2015-01-01 12:00:00,-1,1
1,2014,12,31,21,-15,-78.416,-101.136,1766.3,634.3,2014-12-31 21:00:00,2015-01-01 12:00:00,-1,1
1,2014,12,31,20,-16,-78.061,-101.204,1717.7,647.6,2014-12-31 20:00:00,2015-01-01 12:00:00,-1,1
1,2014,12,31,19,-17,-77.692,-101.1,1658.6,661.9,2014-12-31 19:00:00,2015-01-01 12:00:00,-1,1
1,2014,12,31,18,-18,-77.313,-100.878,1591.7,678.9,2014-12-31 18:00:00,2015-01-01 12:00:00,-1,1
1,2014,12,31,17,-19,-76.933,-100.559,1521.2,698,2014-12-31 17:00:00,2015-01-01 12:00:00,-1,1
1,2014,12,31,16,-20,-76.558,-100.153,1449.5,716.8,2014-12-31 16:00:00,2015-01-01 12:00:00,-1,1
1,2014,12,31,15,-21,-76.186,-99.686,1377.4,735.5,2014-12-31 15:00:00,2015-01-01 12:00:00,-1,1
1,2014,12,31,14,-22,-75.818,-99.181,1305.7,753.9,2014-12-31 14:00:00,2015-01-01 12:00:00,-1,1
1,2014,12,31,13,-23,-75.454,-98.659,1235.1,771.7,2014-12-31 13:00:00,2015-01-01 12:00:00,-1,1
1,2014,12,31,12,-24,-75.095,-98.14,1165.9,788.7,2014-12-31 12:00:00,2015-01-01 12:00:00,-1,1
1,2015,1,2,12,0,-80.3,-81.3,1500,745.6,2015-01-02 12:00:00,2015-01-02 12:00:00,24,2
1,2015,1,2,11,-1,-80.453,-81.251,1521.1,742.1,2015-01-02 11:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,2,10,-2,-80.594,-81.201,1538.7,739.3,2015-01-02 10:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,2,9,-3,-80.722,-81.152,1553,736.9,2015-01-02 09:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,2,8,-4,-80.837,-81.11,1563.7,734.9,2015-01-02 08:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,2,7,-5,-80.94,-81.076,1570.7,733.4,2015-01-02 07:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,2,6,-6,-81.031,-81.054,1574,732.2,2015-01-02 06:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,2,5,-7,-81.11,-81.064,1578.1,731.3,2015-01-02 05:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,2,4,-8,-81.18,-81.127,1587.3,729.1,2015-01-02 04:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,2,3,-9,-81.238,-81.247,1601.5,726.1,2015-01-02 03:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,2,2,-10,-81.283,-81.429,1620.8,722.3,2015-01-02 02:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,2,1,-11,-81.315,-81.673,1644.9,717.6,2015-01-02 01:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,2,0,-12,-81.333,-81.982,1673.8,712,2015-01-02,2015-01-02 12:00:00,-1,2
1,2015,1,1,23,-13,-81.344,-82.399,1706,705.1,2015-01-01 23:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,1,22,-14,-81.356,-82.964,1739.8,696.6,2015-01-01 22:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,1,21,-15,-81.365,-83.678,1774.9,686.8,2015-01-01 21:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,1,20,-16,-81.368,-84.541,1810.6,675.6,2015-01-01 20:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,1,19,-17,-81.36,-85.545,1846,663.2,2015-01-01 19:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,1,18,-18,-81.336,-86.676,1880.2,649.7,2015-01-01 18:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,1,17,-19,-81.294,-87.894,1913.6,636,2015-01-01 17:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,1,16,-20,-81.235,-89.161,1944.4,623.4,2015-01-01 16:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,1,15,-21,-81.159,-90.469,1972.7,611.4,2015-01-01 15:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,1,14,-22,-81.066,-91.806,1998.8,600.7,2015-01-01 14:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,1,13,-23,-80.956,-93.155,2022.1,591.2,2015-01-01 13:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,1,12,-24,-80.827,-94.495,2042.8,583,2015-01-01 12:00:00,2015-01-02 12:00:00,-1,2
1,2015,1,3,12,0,-80.3,-81.3,1500,743,2015-01-03 12:00:00,2015-01-03 12:00:00,24,3
1,2015,1,3,11,-1,-80.567,-81.361,1536.4,735.2,2015-01-03 11:00:00,2015-01-03 12:00:00,-1,3
1,2015,1,3,10,-2,-80.838,-81.467,1569.9,727.2,2015-01-03 10:00:00,2015-01-03 12:00:00,-1,3
1,2015,1,3,9,-3,-81.113,-81.619,1601.5,719.2,2015-01-03 09:00:00,2015-01-03 12:00:00,-1,3
1,2015,1,3,8,-4,-81.392,-81.821,1631.7,710.9,2015-01-03 08:00:00,2015-01-03 12:00:00,-1,3
1,2015,1,3,7,-5,-81.674,-82.078,1661.2,702.3,2015-01-03 07:00:00,2015-01-03 12:00:00,-1,3
1,2015,1,3,6,-6,-81.957,-82.4,1690.8,693.3,2015-01-03 06:00:00,2015-01-03 12:00:00,-1,3
1,2015,1,3,5,-7,-82.23,-82.727,1722.8,684.3,2015-01-03 05:00:00,2015-01-03 12:00:00,-1,3
1,2015,1,3,4,-8,-82.483,-82.989,1759,675.8,2015-01-03 04:00:00,2015-01-03 12:00:00,-1,3
1,2015,1,3,3,-9,-82.712,-83.147,1800.7,668.5,2015-01-03 03:00:00,2015-01-03 12:00:00,-1,3
1,2015,1,3,2,-10,-82.917,-83.168,1848,662.2,2015-01-03 02:00:00,2015-01-03 12:00:00,-1,3
1,2015,1,3,1,-11,-83.102,-83.051,1900.5,656.7,2015-01-03 01:00:00,2015-01-03 12:00:00,-1,3
1,2015,1,3,0,-12,-83.269,-82.796,1957.6,651.9,2015-01-03,2015-01-03 12:00:00,-1,3
1,2015,1,2,23,-13,-83.43,-82.467,2017,647.3,2015-01-02 23:00:00,2015-01-03 12:00:00,-1,3
1,2015,1,2,22,-14,-83.594,-82.13,2076.6,642.4,2015-01-02 22:00:00,2015-01-03 12:00:00,-1,3
1,2015,1,2,21,-15,-83.761,-81.809,2135.6,637.2,2015-01-02 21:00:00,2015-01-03 12:00:00,-1,3
1,2015,1,2,20,-16,-83.934,-81.524,2193.7,631.5,2015-01-02 20:00:00,2015-01-03 12:00:00,-1,3
1,2015,1,2,19,-17,-84.111,-81.303,2250.2,625.6,2015-01-02 19:00:00,2015-01-03 12:00:00,-1,3
1,2015,1,2,18,-18,-84.294,-81.173,2304.4,619.3,2015-01-02 18:00:00,2015-01-03 12:00:00,-1,3
